Date,KBP1120M,KBP1078M,KBP1514M,KBP1081M,KBP1080M,KBP1090M
19980700,35985.0,13595.0,1837.0,20606.0,17150.0,629363.0
19980800,39378.0,15746.0,3206.0,22932.0,18648.0,648243.0
19980900,26692.0,16935.0,3287.0,20039.0,9737.0,636105.0
19981000,23415.0,21430.0,1785.0,16541.0,7660.0,638700.0
19981100,21523.0,20512.0,2548.0,15561.0,8317.0,648474.0
19981200,22434.0,17738.0,2703.0,15319.0,9083.0,653732.0
19990100,22840.0,19600.0,2721.0,15867.0,9477.0,649510.0
19990200,25628.0,20661.0,2825.0,15307.0,11105.0,661003.0
19990300,25424.0,20151.0,4021.0,13535.0,10235.0,673314.0
19990400,25288.0,20323.0,3883.0,16207.0,9345.0,669016.0
19990500,32970.0,20944.0,3505.0,13961.0,11164.0,684781.0
19990600,34554.0,23213.0,6044.0,13807.0,8360.0,705955.0
19990700,40448.0,21423.0,4916.0,11076.0,10987.0,712509.0
19990800,39653.0,21492.0,6060.0,10796.0,11481.0,722574.0
19990900,37287.0,20017.0,2746.0,12760.0,10251.0,719471.0
19991000,36987.0,19383.0,6355.0,12414.0,9040.0,709598.0
19991100,37460.0,20690.0,2410.0,11745.0,8628.0,718549.0
19991200,35412.0,19205.0,1838.0,10928.0,7504.0,726134.0
20000100,46796.0,19670.0,1988.0,10975.0,10675.0,736466.0
20000200,48036.0,19469.0,2187.0,10842.0,11761.0,741192.0
20000300,45465.0,16495.0,3671.0,12397.0,11770.0,745068.0
20000400,45573.0,17728.0,4129.0,14312.0,10878.0,742728.0
20000500,44473.0,19101.0,4078.0,11582.0,15093.0,747839.0
20000600,45124.0,20156.0,3608.0,11952.0,12102.0,751892.0
20000700,53596.0,21207.0,4248.0,16211.0,13131.0,768009.0
20000800,53299.0,20401.0,1460.0,17826.0,11935.0,773485.0
20000900,54180.0,22830.0,2364.0,15438.0,12270.0,789535.0
20001000,53472.0,25627.0,2536.0,15077.0,15132.0,793969.0
20001100,55335.0,25609.0,2086.0,15643.0,16937.0,806471.0
20001200,55987.0,25237.0,1169.0,17646.0,15833.0,821142.0
20010100,60431.0,28361.0,1676.0,19542.0,7735.0,835047.0
20010200,58537.0,31919.0,1420.0,20420.0,10081.0,852793.0
20010300,63816.0,29835.0,2461.0,24545.0,11226.0,860366.0
20010400,64228.0,29643.0,1980.0,26263.0,9652.0,867054.0
20010500,69335.0,28550.0,1633.0,25452.0,11668.0,881997.0
20010600,74733.0,26791.0,914.0,23553.0,12508.0,897517.0
20010700,86085.0,29288.0,648.0,23547.0,13295.0,928640.0
20010800,89343.0,27054.0,522.0,24890.0,14475.0,939505.0
20010900,92613.0,32372.0,1098.0,26110.0,14603.0,952744.0
20011000,90176.0,31415.0,1500.0,27137.0,14454.0,973949.0
20011100,103214.0,38313.0,1198.0,30244.0,15954.0,1011427.0
20011200,110249.0,44544.0,2866.0,35636.0,14943.0,1050068.0
20020100,130981.0,43852.0,649.0,32053.0,17958.0,1038822.0
20020200,131260.0,42361.0,1329.0,30959.0,17363.0,1048226.0
20020300,124159.0,45721.0,2432.0,27150.0,13733.0,1054297.0
20020400,131504.0,41660.0,2798.0,26749.0,13860.0,1051705.0
20020500,129352.0,34375.0,4737.0,21892.0,11524.0,1060622.0
20020600,139812.0,37111.0,2865.0,23203.0,10358.0,1067523.0
20020700,143730.0,36158.0,1651.0,21203.0,8273.0,1063957.0
20020800,144249.0,33979.0,929.0,26404.0,7888.0,1061606.0
20020900,146260.0,38387.0,1532.0,25139.0,8675.0,1072954.0
20021000,137262.0,40640.0,3806.0,22305.0,7959.0,1069068.0
20021100,127943.0,41696.0,4035.0,21197.0,7426.0,1088603.0
20021200,117932.0,35840.0,2455.0,14582.0,8880.0,1102860.0
20030100,110698.0,31495.0,2274.0,14209.0,8639.0,1229773.0
20030200,107025.0,34593.0,2534.0,13171.0,8569.0,1232683.0
20030300,103702.0,31832.0,4163.0,9610.0,12177.0,1232642.0
20030400,92496.0,28410.0,4306.0,8641.0,10497.0,1296527.0
20030500,111589.0,28052.0,3272.0,7700.0,11375.0,1290382.0
20030600,112559.0,28841.0,3413.0,8005.0,10120.0,1346910.0
20030700,112946.0,27503.0,3519.0,8032.0,11301.0,1330339.0
20030800,112311.0,27976.0,3783.0,6428.0,10225.0,1311836.0
20030900,106555.0,25261.0,2825.0,5166.0,8905.0,1366073.0
20031000,101444.0,23973.0,3418.0,5414.0,9492.0,1370930.0
20031100,97162.0,24081.0,5509.0,3888.0,9786.0,1406436.0
20031200,115091.0,24837.0,6680.0,6117.0,7940.0,1381843.0
20040100,130042.0,30163.0,4564.0,5512.0,9981.0,1377172.0
20040200,128041.0,29094.0,6326.0,4587.0,9935.0,1369456.0
20040300,120557.0,31028.0,5086.0,4863.0,9680.0,1359204.0
20040400,131066.0,28841.0,5827.0,5617.0,9794.0,1342776.0
20040500,127735.0,30331.0,8065.0,4923.0,9077.0,1323003.0
20040600,120838.0,27783.0,7061.0,5155.0,9205.0,1350798.0
20040700,118317.0,26545.0,12078.0,6196.0,9142.0,1351604.0
20040800,130167.0,31100.0,10021.0,5701.0,10413.0,1395310.0
20040900,125323.0,30367.0,5381.0,3009.0,12872.0,1406338.0
20041000,120315.0,28768.0,7476.0,4105.0,11415.0,1436244.0
20041100,106894.0,28202.0,9172.0,3300.0,10063.0,1484767.0
20041200,116959.0,27702.0,5866.0,5673.0,12396.0,1498619.0
20050100,115752.0,26457.0,5160.0,10043.0,8863.0,1529400.0
20050200,116789.0,26043.0,12824.0,11344.0,10379.0,1544189.0
20050300,123781.0,27282.0,6641.0,12442.0,8141.0,1513867.0
20050400,120070.0,25604.0,9160.0,10360.0,10808.0,1527513.0
20050500,119115.0,28985.0,13973.0,10337.0,10807.0,1541657.0
20050600,131678.0,30059.0,12132.0,11907.0,10363.0,1564147.0
20050700,156721.0,30830.0,9382.0,9248.0,16409.0,1617981.0
20050800,154611.0,30519.0,9449.0,9539.0,13764.0,1611667.0
20050900,149402.0,28924.0,11875.0,8855.0,14541.0,1620804.0
20051000,163153.0,28798.0,12296.0,9832.0,18176.0,1627984.0
20051100,146925.0,29533.0,15839.0,9875.0,14670.0,1659495.0
20051200,145848.0,33030.0,13239.0,10625.0,13145.0,1677652.0
20060100,137707.0,30491.0,16868.0,12029.0,13288.0,1722319.0
20060200,168129.0,33884.0,19274.0,11805.0,18852.0,1772011.0
20060300,174691.0,35981.0,19796.0,10160.0,16944.0,1803893.0
20060400,161829.0,34438.0,11564.0,12199.0,17579.0,1812565.0
20060500,199978.0,41551.0,14540.0,13786.0,19210.0,1869115.0
20060600,224463.0,48834.0,15643.0,14221.0,17144.0,1959903.0
20060700,206376.0,47930.0,16066.0,17333.0,20393.0,1939351.0
20060800,194953.0,44926.0,13781.0,21761.0,19265.0,1967813.0
20060900,218770.0,47290.0,16877.0,26903.0,20590.0,2064106.0
20061000,194704.0,48597.0,17076.0,23282.0,17405.0,2049691.0
20061100,187723.0,45786.0,10194.0,26297.0,17930.0,2062028.0
20061200,192131.0,50284.0,9790.0,22229.0,16853.0,2075157.0
20070100,181377.0,52528.0,12260.0,22551.0,13093.0,2096884.0
20070200,184304.0,52612.0,19807.0,25668.0,16690.0,2160280.0
20070300,199514.0,44685.0,18823.0,34516.0,19311.0,2176530.0
20070400,188950.0,46283.0,9780.0,28607.0,21715.0,2205408.0
20070500,198598.0,44953.0,16757.0,28795.0,20886.0,2221307.0
20070600,216253.0,42435.0,11685.0,45547.0,22551.0,2308100.0
20070700,212205.0,38090.0,19797.0,50311.0,28090.0,2361112.0
20070800,235112.0,45274.0,21269.0,53805.0,26643.0,2403893.0
20070900,220855.0,55900.0,22064.0,50773.0,18096.0,2456016.0
20071000,185142.0,51363.0,17932.0,47561.0,20073.0,2491591.0
20071100,201521.0,57181.0,16942.0,48599.0,22000.0,2535264.0
20071200,190938.0,54936.0,23285.0,53866.0,15678.0,2546788.0
20080100,186457.0,68918.0,34248.0,46143.0,10912.0,2657035.0
20080200,227816.0,72741.0,32527.0,42782.0,12910.0,2754009.0
