Date,KBP1120M,KBP1078M,KBP1514M,KBP1081M,KBP1080M,KBP1090M,Net FX Exposure
20160400,380163.0,177950.0,26628.0,156306.0,19953.0,4769713.0,-0.00014130829255345134
20160500,384002.0,180289.0,29958.0,168667.0,20013.0,4839154.0,-0.0030842167866532042
20160600,388404.0,186205.0,22011.0,160361.0,23853.0,4839645.0,-0.0008318791977510747
20160700,369913.0,165653.0,21484.0,173590.0,18216.0,4837558.0,-0.0018666442862287128
20160800,390149.0,179638.0,22936.0,177975.0,19795.0,4866827.0,-0.002094794000279854
20160900,372047.0,173146.0,16698.0,189848.0,13641.0,4845655.0,-0.004392801385983938
20161000,384544.0,174151.0,15580.0,148518.0,13286.0,4874470.0,0.0067718131407106825
20161100,388173.0,181682.0,13319.0,165971.0,12027.0,4871911.0,0.003114588915930525
20161200,374185.0,176806.0,16312.0,178790.0,8523.0,4870414.0,-0.0012824371809049499
20170100,363602.0,173591.0,11593.0,179596.0,8447.0,4883458.0,-0.0019709394449588797
20170200,358102.0,174233.0,13600.0,180897.0,7549.0,4903313.0,-0.003707085393080148
20170300,369795.0,176778.0,11275.0,181564.0,7275.0,4934297.0,-0.0014383001266441806
20170400,346870.0,170907.0,8825.0,150698.0,15645.0,4910900.0,0.0001618847869026044
20170500,363411.0,171906.0,14309.0,144230.0,9082.0,4926947.0,0.004847626735176976
20170600,361197.0,171140.0,16258.0,140179.0,10344.0,4940429.0,0.004711331748720607
20170700,377915.0,170426.0,9997.0,149679.0,9628.0,5008710.0,0.007623719480664682
20170800,366458.0,168069.0,11139.0,148302.0,14722.0,5004424.0,0.004840916756853536
20170900,394698.0,178346.0,9941.0,156861.0,15067.0,5111516.0,0.006746139501470796
20171000,396319.0,187466.0,21815.0,150349.0,9910.0,5117354.0,0.0052329778240864325
20171100,371509.0,188760.0,20583.0,145424.0,8346.0,5101424.0,0.001645814972446909
20171200,340511.0,171378.0,15401.0,120234.0,5639.0,5152476.0,0.005406915044339848
20180100,309450.0,174945.0,13981.0,118284.0,2744.0,5134614.0,-9.815732984017883e-05
20180200,314916.0,166187.0,15939.0,109644.0,2640.0,5190230.0,0.003950884642877098
20180300,327750.0,162727.0,12038.0,100581.0,8103.0,5196186.0,0.008525676332602412
20180400,315498.0,164099.0,15265.0,108592.0,9755.0,5197015.0,0.0034225415935878576
20180500,309269.0,183243.0,13290.0,107133.0,9239.0,5159497.0,-0.0007047198593196197
20180600,343190.0,207162.0,16182.0,108576.0,5627.0,5289362.0,0.0010668583469991277
20180700,347480.0,213685.0,17018.0,108614.0,10264.0,5237625.0,-0.0004011360110737214
20180800,391687.0,210936.0,14856.0,114043.0,7217.0,5410561.0,0.008249606648922358
20180900,366627.0,205107.0,15860.0,107717.0,13582.0,5409904.0,0.004503037392160748
20181000,371436.0,198524.0,35739.0,133857.0,10523.0,5466101.0,-0.0013184900901026162
20181100,357633.0,208224.0,37010.0,132600.0,9021.0,5463831.0,-0.005348262052761149
20181200,389412.0,214518.0,42059.0,164115.0,7234.0,5515751.0,-0.006982548704609762
20190100,334732.0,204576.0,52754.0,137249.0,3760.0,5514657.0,-0.01153417157223015
20190200,351885.0,212026.0,51114.0,148328.0,4522.0,5533788.0,-0.011584289098172898
20190300,386896.0,211580.0,40071.0,156035.0,4003.0,5648725.0,-0.004389132060774776
20190400,380444.0,217938.0,44083.0,154572.0,5780.0,5680642.0,-0.007381031932658316
20190500,368584.0,214598.0,34814.0,141994.0,5832.0,5731187.0,-0.0049996623736060265
20190600,366838.0,210866.0,35201.0,144770.0,8168.0,5792691.0,-0.0055530322608266175
20190700,366467.0,227608.0,30593.0,150512.0,7969.0,5797730.0,-0.008661148414983106
20190800,370319.0,235051.0,30499.0,134406.0,9617.0,5892249.0,-0.006661972364032816
20190900,366013.0,266713.0,26908.0,123593.0,9525.0,5894980.0,-0.010301307213934569
20191000,371507.0,257208.0,25274.0,122872.0,7883.0,5913044.0,-0.007057278789063637
20191100,364849.0,246662.0,19319.0,120296.0,7971.0,5883561.0,-0.004996803806402279
20191200,356596.0,248940.0,26356.0,124847.0,5525.0,5882469.0,-0.008342075410852143
20200100,380023.0,261287.0,39885.0,141170.0,7114.0,5916356.0,-0.0117357711402086
20200200,402538.0,266089.0,30148.0,139320.0,10114.0,6070618.0,-0.007105207410514053
20200300,517518.0,312780.0,30256.0,177908.0,14851.0,6578128.0,-0.0027784500392816925
20200400,519610.0,300716.0,34250.0,177751.0,15393.0,6613978.0,-0.0012851569811692751
20200500,455723.0,289834.0,31282.0,151017.0,7964.0,6537062.0,-0.003728586328231245
20200600,451339.0,290247.0,27273.0,141328.0,6684.0,6530513.0,-0.002173336152917849
20200700,430411.0,295017.0,23932.0,140482.0,11256.0,6529111.0,-0.0061686805447173435
20200800,443736.0,296890.0,21556.0,136402.0,5599.0,6531473.0,-0.0025585346521374273
20200900,424514.0,273246.0,28511.0,129132.0,6394.0,6499927.0,-0.0019644836011235203
20201000,422020.0,263633.0,27356.0,126625.0,3673.0,6529390.0,0.00011226163546671282
20201100,410687.0,254157.0,25488.0,112775.0,2629.0,6539343.0,0.002391371732603719
20201200,397638.0,244421.0,24690.0,124711.0,4331.0,6566095.0,-7.843322400909521e-05
20210100,388363.0,252384.0,24281.0,105439.0,2046.0,6534525.0,0.0006447293414594021
20210200,385453.0,254628.0,20906.0,115059.0,2546.0,6520468.0,-0.001178749746183863
20210300,367585.0,255145.0,15508.0,112285.0,1693.0,6453523.0,-0.0026413479893075457
20210400,355607.0,259744.0,19506.0,103878.0,1454.0,6425870.0,-0.0045091170534106665
20210500,340191.0,260737.0,18038.0,88228.0,3463.0,6487379.0,-0.004666753707467993
20210600,369421.0,257243.0,23688.0,110500.0,7928.0,6483428.0,-0.004617618950962361
20210700,361539.0,249014.0,27838.0,103668.0,10831.0,6518368.0,-0.00457353742531873
20210800,358999.0,243076.0,26790.0,92930.0,4875.0,6585838.0,-0.0013167648520962707
20210900,374268.0,262433.0,29607.0,113913.0,3997.0,6605679.0,-0.005401715705531558
20211000,351632.0,260099.0,35255.0,111861.0,2341.0,6593024.0,-0.008785649801972509
20211100,377717.0,270218.0,26520.0,108767.0,3016.0,6778981.0,-0.004544045779151763
20211200,370770.0,273682.0,24768.0,113820.0,5995.0,6716215.0,-0.007071691421433054
20220100,355347.0,277631.0,27000.0,101458.0,7879.0,6622697.0,-0.00885152982236693
